ประทับเวลา,คะแนน,สัตว์เลี้ยงที่เลี้ยงอยู่คืออะไร,เพศ,งบประมาณในการเลี้ยงสัตว์(ต่อเดือน),เวลาว่างเฉลี่ยต่อวัน (24 ชั่วโมง),เวลาอยู่บ้านเฉลี่ยต่อวัน (24 ชั่วโมง),ที่อยู่อาศัย,สัตว์เลี้ยงเงียบหรือไม่,เป็นภูมแพ้หรือไม่
"1/9/2025, 17:06:42",,ปลา,ชาย,400,3,2,House,Yes,Yes
"1/9/2025, 17:25:06",,สุนัข,ชาย,6500,10,24,House,No,No
"1/9/2025, 17:35:49",,แมว,ชาย,400ต่อเดือน,1,12,House,No,No
"1/9/2025, 17:38:15",,สุนัข,หญิง,4000 ต่อเดือน,4 ชั่วโมง,2 ชั่วโมง,Condo,Yes,No
"1/9/2025, 17:39:01",,แฮมเตอร์,ชาย,50000000,14,24,Condo,No,No
"1/9/2025, 17:40:59",,งู,หญิง,2000,1,9,House,Yes,Yes
"1/9/2025, 17:41:48",,ไม่เลี้ยงสัตว์,หญิง,500,0,0,Apartment,No,Yes
"1/9/2025, 17:56:59",,งู,ชาย,2500,6 ชั่วโมง,10 ชั่วโมง,House,Yes,No
"1/9/2025, 18:20:42",,แมว,หญิง,500-800,6,15,House,Yes,Yes
"1/9/2025, 18:38:23",,แฮมเตอร์,ชาย,12000,2,2,House,Yes,Yes
"1/9/2025, 18:41:32",,ปลา,ชาย,45,8,8,Apartment,Yes,No
"1/9/2025, 18:44:23",,ไม่เลี้ยงสัตว์,ชาย,5E+301,26,27,House,No,Yes
"1/9/2025, 18:44:55",,สุนัข,หญิง,909090090909909090990909090909000090909090,29,278,Apartment,No,Yes
"1/9/2025, 18:45:14",,สุนัข,หญิง,666666666666666666666666666666666,666666666666666666666666666666666666,666666666666666666666666666666666666,House,No,Yes
"1/9/2025, 18:45:57",,สุนัข,ชาย,"700,000",24,20,Condo,Yes,Yes
"1/9/2025, 18:47:33",,แมว,ชาย,200-400,4,6,House,Yes,Yes
"1/9/2025, 19:04:38",,ไม่เลี้ยงสัตว์,ชาย,1000,8,16,House,Yes,Yes
"1/9/2025, 19:19:57",,แมว,หญิง,5240,3,12,Condo,Yes,No